Full Name,Email Address,Highest Education,Field of Study,GPA,Interests,Work Experience (years),Relevant Work Experience,Skills,Career Goals,Preferred Job Location,Open to Remote Work,Additional Information
Nimal Perera,nimal.perera@gmail.com,Bachelor's Degree,Information Technology,3.8,"Technology, Healthcare",2,Software development intern at ABC company,"Python, Java, Data Analysis",Become a software engineer,Colombo,Yes,Looking for opportunities in AI and machine learning
Kavinda Silva,kavinda.silva@gmail.com,Master's Degree,Finance,3.6,"Finance, Education",5,Financial analyst at DEF Corp,"Financial modeling, Risk analysis",Advance to a senior analyst role,Kandy,No,Interested in FinTech companies
Anjali Fernando,anjali.fernando@gmail.com,Associate's Degree,Nursing,3.5,"Healthcare, Education",3,Registered nurse at GHI Hospital,"Patient care, Emergency response",Pursue further education in nursing,Galle,Yes,Open to relocating for better opportunities
Lakmal De Silva,lakmal.desilva@gmail.com,Bachelor's Degree,Mechanical Engineering,3.7,"Engineering, Automotive",4,Mechanical engineer at JKL Ltd,"AutoCAD, SolidWorks",Become a senior engineer,Colombo,No,Interested in renewable energy projects
Ruwani Jayasekara,ruwani.jayasekara@gmail.com,PhD,Biochemistry,3.9,"Science, Research",6,Research scientist at MNO Labs,"Lab techniques, Data analysis",Lead a research team,Gampaha,Yes,Open to international research opportunities
Sunil Rathnayake,sunil.rathnayake@gmail.com,Bachelor's Degree,Marketing,3.4,"Marketing, Sales",3,Marketing coordinator at PQR Inc,"SEO, Content creation",Become a marketing manager,Matara,Yes,Seeking roles in digital marketing
Amara Wijesinghe,amara.wijesinghe@gmail.com,Diploma,Graphic Design,3.6,"Design, Art",4,Graphic designer at STU Studio,"Adobe Photoshop, Illustrator",Start a design agency,Colombo,Yes,Looking for freelance opportunities
Rohan Senanayake,rohan.senanayake@gmail.com,Master's Degree,Computer Science,3.8,"Technology, Research",7,Software engineer at VWX Solutions,"Python, Machine learning",Become a CTO,Jaffna,No,Interested in startups and innovation
Chamari Liyanage,chamari.liyanage@gmail.com,Bachelor's Degree,Education,3.7,"Education, Literature",5,Teacher at XYZ School,"Curriculum development, Teaching",Advance to a school administrator,Kurunegala,Yes,Interested in educational technology
Indika Weerasinghe,indika.weerasinghe@gmail.com,Bachelor's Degree,Civil Engineering,3.5,"Construction, Infrastructure",4,Civil engineer at ABC Constructors,"Project management, AutoCAD",Lead large-scale projects,Colombo,No,Seeking opportunities in sustainable building
Tharindu Perera,tharindu.perera@gmail.com,Master's Degree,Business Administration,3.9,"Business, Management",8,Operations manager at DEF Enterprises,"Strategic planning, Leadership",Become a CEO,Kandy,Yes,Open to international roles
Sithara Wickramasinghe,sithara.wickramasinghe@gmail.com,Bachelor's Degree,Chemistry,3.6,"Science, Education",2,Lab assistant at GHI College,"Lab techniques, Data analysis",Pursue a PhD in Chemistry,Colombo,No,Looking for research assistant roles
Dilan Karunaratne,dilan.karunaratne@gmail.com,Diploma,Information Technology,3.5,"Technology, Gaming",3,IT support at JKL Tech,"Networking, Troubleshooting",Become an IT manager,Galle,Yes,Interested in cybersecurity roles
Pasan Fernando,pasan.fernando@gmail.com,Bachelor's Degree,Environmental Science,3.7,"Science, Conservation",5,Environmental consultant at MNO Ltd,"GIS, Environmental impact analysis",Lead environmental projects,Gampaha,No,Seeking roles in environmental protection
Nirosha Perera,nirosha.perera@gmail.com,Master's Degree,Human Resources,3.8,"Management, Psychology",6,HR manager at PQR Company,"Recruitment, Employee relations",Become a CHRO,Colombo,Yes,Open to consultancy roles
